iter	Passed	Remaining
0	0	260
1	0	221
2	0	221
3	0	211
4	1	204
5	1	196
6	1	189
7	1	187
8	1	182
9	1	181
10	2	180
11	2	181
12	2	182
13	2	181
14	2	182
15	2	183
16	3	182
17	3	182
18	3	182
19	3	181
20	3	182
21	4	182
22	4	181
23	4	181
24	4	181
25	4	179
26	5	180
27	5	179
28	5	179
29	5	179
30	5	178
31	5	178
32	6	178
33	6	180
34	6	179
35	6	178
36	6	178
37	7	179
38	7	178
39	7	178
40	7	178
41	7	178
42	8	179
43	8	179
44	8	178
45	8	178
46	8	180
47	9	179
48	9	179
49	9	179
50	9	178
51	9	178
52	10	178
53	10	179
54	10	179
55	10	178
56	10	181
57	11	186
58	11	186
59	11	185
60	12	185
61	12	185
62	12	184
63	12	183
64	12	184
65	13	184
66	13	183
67	13	183
68	13	182
69	13	182
70	13	182
71	14	181
72	14	180
73	14	179
74	14	179
75	14	179
76	14	179
77	15	179
78	15	178
79	15	178
80	15	177
81	15	177
82	15	176
83	16	176
84	16	175
85	16	175
86	16	175
87	16	174
88	17	174
89	17	173
90	17	173
91	17	173
92	17	172
93	17	172
94	18	171
95	18	171
96	18	170
97	18	169
98	18	169
99	18	169
100	18	168
101	19	168
102	19	167
103	19	167
104	19	166
105	19	165
106	19	165
107	19	164
108	20	164
109	20	163
110	20	163
111	20	163
112	20	162
113	20	162
114	21	162
115	21	162
116	21	162
117	21	162
118	21	161
119	22	161
120	22	160
121	22	160
122	22	160
123	22	159
124	22	159
125	22	159
126	23	159
127	23	158
128	23	158
129	23	158
130	23	158
131	23	157
132	24	157
133	24	157
134	24	157
135	24	157
136	24	156
137	24	156
138	25	156
139	25	155
140	25	155
141	25	155
142	25	154
143	26	154
144	26	154
145	26	153
146	26	153
147	26	153
148	26	152
149	26	152
150	27	152
151	27	151
152	27	151
153	27	151
154	27	150
155	27	150
156	27	149
157	28	149
158	28	149
159	28	148
160	28	148
161	28	148
162	28	147
163	28	147
164	29	147
165	29	147
166	29	146
167	29	146
168	29	146
169	29	146
170	30	145
171	30	145
172	30	145
173	30	144
174	30	144
175	30	144
176	30	144
177	31	143
178	31	143
179	31	143
180	31	143
181	31	142
182	31	142
183	32	142
184	32	141
185	32	141
186	32	141
187	32	141
188	32	140
189	32	140
190	33	140
191	33	139
192	33	139
193	33	139
194	33	139
195	33	138
196	33	138
197	34	138
198	34	137
199	34199	3200	34200	3201	34201	3202	34202	3203	34203	3204	35204	3205	35205	3206	35206	3207	35207	3208	35	135
209	35209	3210	36210	3211	36211	4212	36212	4213	36213	4214	36	134
215	37	134
216	37216	4217	37217	4218	37218	41	147
219	41	147
220	41	147
221	42	147
222	42	147
223	42	146
224	42	146
225	42	146
226	42	146
227	43	145
228	43	145
229	43	145
230	43	145
231	43	144
232	43	144
233	44	144
234	44	144
235	44	144
236	44	143
237	44	143
238	45	143
239	45	143
240	45	142
241	45	142
242	45	142
243	45	142
244	46	142
245	46	141
246	46	141
247	46	141
248	46	141
249	47	141
250	47	141
251	47	141
252	47	141
253	48	141
254	48	140
255	48	140
256	48	140
257	48	140
258	48	140
259	49	139
260	49	139
261	49	139
262	49	139
263	50	139
264	50	139
265	50	138
266	50	138
267	50	138
268	50	137
269	50	137
270	51	137
271	51	137
272	51	137
273	51	136
274	51	136
275	52	136
276	52	136
277	52	136
278	52	136
279	52	136
280	53	136
281	53	135
282	53	135
283	53	135
284	53	135
285	54	135
286	54	135
287	54	134
288	54	134
289	54	134
290	55	134
291	55	134
292	55	134
293	55	133
294	55	133
295	56	133
296	56	133
297	56	133
298	56	133
299	56	132
300	57	132
301	57	132
302	57	132
303	57	132
304	57	132
305	58	131
306	58	131
307	58	131
308	58	131
309	58	131
310	59	130
311	59	130
312	59	130
313	59	130
314	59	130
315	59	129
316	60	129
317	60	129
318	60	129
319	60	129
320	60	128
321	61	128
322	61	128
323	61	128
324	61	128
325	61	128
326	62	128
327	62	127
328	62	127
329	62	127
330	62	127
331	63	127
332	63	126
333	63	126
334	63	126
335	63	126
336	64	126
337	64	126
338	64	125
339	64	125
340	64	125
341	65	125
342	65	124
343	65	124
344	65	124
345	65	124
346	65	124
347	66	124
348	66	123
349	66	123
350	66	123
351	66	123
352	67	123
353	67	123
354	67	122
355	67	122
356	67	122
357	68	122
358	68	122
359	68	121
360	68	121
361	69	121
362	69	121
363	69	121
364	69	120
365	69	120
366	69	120
367	70	120
368	70	120
369	70	120
370	70	119
371	70	119
372	71	119
373	71	119
374	71	119
375	71	118
376	71	118
377	72	118
378	72	118
379	72	118
380	72	118
381	72	117
382	73	117
383	73	117
384	73	117
385	73	117
386	73	117
387	74	117
388	74	116
389	74	116
390	74	116
391	75	116
392	75	116
393	75	116
394	75	115
395	75	115
396	76	115
397	76	115
398	76	115
399	76	114
400	76	114
401	77	114
402	77	114
403	77	114
404	77	114
405	77	113
406	78	113
407	78	113
408	78	113
409	78	113
410	78	113
411	79	112
412	79	112
413	79	112
414	79	112
415	79	112
416	80	112
417	80	111
418	80	111
419	80	111
420	81	111
421	81	111
422	81	111
423	81	111
424	82	111
425	82	110
426	82	110
427	82	110
428	82	110
429	83	110
430	83	110
431	83	109
432	83	109
433	84	109
434	84	109
435	84	109
436	84	109
437	84	108
438	85	108
439	85	108
440	85	108
441	85	108
442	85	108
443	86	107
444	86	107
445	86	107
446	86	107
447	87	107
448	87	107
449	87	106
450	87	106
451	87	106
452	87	106
453	88	106
454	88	105
455	88	105
456	88	105
457	89	105
458	89	105
459	89	104
460	89	104
461	89	104
462	90	104
463	90	104
464	90	104
465	90	103
466	90	103
467	91	103
468	91	103
469	91	103
470	91	103
471	92	102
472	92	102
473	92	102
474	92	102
475	92	102
476	93	102
477	93	101
478	93	101
479	93	101
480	93	101
481	94	101
482	94	101
483	94	100
484	94	100
485	95	100
486	95	100
487	95	100
488	95	100
489	95	99
490	96	99
491	96	99
492	96	99
493	96	99
494	96	98
495	97	98
496	97	98
497	97	98
498	97	98
499	97	97
500	98	97
501	98	97
502	98	97
503	98	97
504	98	97
505	99	96
506	99	96
507	99	96
508	99	96
509	100	96
510	100	95
511	100	95
512	100	95
513	100	95
514	100	95
515	101	94
516	101	94
517	101	94
518	101	94
519	102	94
520	102	93
521	102	93
522	102	93
523	102	93
524	102	93
525	103	92
526	103	92
527	103	92
528	103	92
529	103	92
530	104	92
531	104	91
532	104	91
533	104	91
534	104	91
535	105	90
536	105	90
537	105	90
538	105	90
539	105	90
540	106	90
541	106	89
542	106	89
543	106	89
544	106	89
545	107	88
546	107	88
547	107	88
548	107	88
549	107	88
550	108	88
551	108	87
552	108	87
553	108	87
554	109	87
555	109	87
556	109	87
557	109	86
558	109	86
559	110	86
560	110	86
561	110	86
562	110	85
563	110	85
564	111	85
565	111	85
566	111	85
567	111	85
568	112	84
569	112	84
570	112	84
571	112	84
572	112	84
573	113	83
574	113	83
575	113	83
576	113	83
577	113	83
578	114	83
579	114	82
580	114	82
581	114	82
582	115	82
583	115	82
584	115	81
585	115	81
586	115	81
587	115	81
588	116	81
589	116	80
590	116	80
591	116	80
592	116	80
593	117	80
594	117	79
595	117	79
596	117	79
597	117	79
598	118	79
599	118	78
600	118	78
601	118	78
602	119	78
603	119	78
604	119	77
605	119	77
606	119	77
607	119	77
608	120	77
609	120	76
610	120	76
611	120	76
612	120	76
613	121	76
614	121	76
615	121	75
616	121	75
617	122	75
618	122	75
619	122	75
620	122	74
621	122	74
622	123	74
623	123	74
624	123	74
625	123	73
626	123	73
627	123	73
628	124	73
629	124	73
630	124	72
631	124	72
632	124	72
633	125	72
634	125	72
635	125	71
636	125	71
637	125	71
638	126	71
639	126	71
640	126	70
641	126	70
642	126	70
643	127	70
644	127	70
645	127	69
646	127	69
647	127	69
648	128	69
649	128	69
650	128	68
651	128	68
652	128	68
653	128	68
654	129	68
655	129	67
656	129	67
657	129	67
658	129	67
659	130	67
660	130	66
661	130	66
662	130	66
663	130	66
664	131	66
665	131	65
666	131	65
667	131	65
668	131	65
669	132	65
670	132	64
671	132	64
672	132	64
673	132	64
674	133	64
675	133	63
676	133	63
677	133	63
678	134	63
679	135	63
680	136	63
681	136	63
682	136	63
683	136	63
684	136	62
685	137	62
686	137	62
687	137	62
688	137	62
689	138	62
690	138	61
691	138	61
692	138	61
693	138	61
694	139	61
695	139	60
696	139	60
697	139	60
698	139	60
699	140	60
700	140	59
701	140	59
702	140	59
703	141	59
704	141	59
705	141	58
706	141	58
707	141	58
708	141	58
709	142	58
710	142	57
711	142	57
712	142	57
713	143	57
714	143	57
715	143	56
716	143	56
717	143	56
718	144	56
719	144	56
720	144	55
721	144	55
722	145	55
723	145	55
724	145	55
725	145	54
726	145	54
727	145	54
728	146	54
729	146	54
730	146	53
731	146	53
732	146	53
733	147	53
734	147	53
735	147	52
736	147	52
737	147	52
738	148	52
739	148	52
740	148	51
741	148	51
742	148	51
743	149	51
744	149	51
745	149	50
746	149	50
747	149	50
748	149	50
749	150	50
750	150	49
751	150	49
752	150	49
753	150	49
754	151	49
755	151	48
756	151	48
757	151	48
758	151	48
759	151	47
760	152	47
761	152	47
762	152	47
763	152	47
764	152	46
765	153	46
766	153	46
767	153	46
768	153	46
769	153	45
770	154	45
771	154	45
772	154	45
773	154	45
774	154	44
775	155	44
776	155	44
777	155	44
778	155	44
779	155	43
780	155	43
781	156	43
782	156	43
783	156	43
784	156	42
785	156	42
786	157	42
787	157	42
788	157	42
789	157	41
790	157	41
791	158	41
792	158	41
793	158	41
794	158	40
795	158	40
796	159	40
797	159	40
798	159	40
799	159	39
800	159	39
801	159	39
802	160	39
803	160	39
804	160	38
805	160	38
806	160	38
807	160	38
808	161	38
809	161	37
810	161	37
811	161	37
812	161	37
813	162	37
814	162	36
815	162	36
816	162	36
817	162	36
818	163	36
819	163	35
820	163	35
821	163	35
822	163	35
823	164	35
824	164	34
825	164	34
826	164	34
827	164	34
828	164	34
829	165	33
830	165	33
831	165	33
832	165	33
833	165	33
834	166	32
835	166	32
836	166	32
837	166	32
838	166	32
839	167	31
840	167	31
841	167	31
842	167	31
843	167	31
844	167	30
845	168	30
846	168	30
847	168	30
848	168	30
849	168	29
850	169	29
851	169	29
852	169	29
853	169	29
854	169	28
855	170	28
856	170	28
857	170	28
858	170	27
859	170	27
860	170	27
861	171	27
862	171	27
863	171	26
864	171	26
865	171	26
866	172	26
867	172	26
868	172	25
869	172	25
870	172	25
871	172	25
872	173	25
873	173	24
874	173	24
875	173	24
876	173	24
877	174	24
878	174	23
879	174	23
880	174	23
881	174	23
882	175	23
883	175	23
884	175	22
885	175	22
886	176	22
887	176	22
888	176	22
889	176	21
890	176	21
891	176	21
892	177	21
893	177	21
894	177	20
895	177	20
896	177	20
897	178	20
898	178	20
899	178	19
900	178	19
901	178	19
902	178	19
903	179	19
904	179	18
905	179	18
906	179	18
907	179	18
908	180	18
909	180	17
910	180	17
911	180	17
912	180	17
913	180	17
914	181	16
915	181	16
916	181	16
917	181	16
918	182	16
919	182	15
920	182	15
921	182	15
922	182	15
923	183	15
924	183	14
925	183	14
926	183	14
927	184	14
928	184	14
929	184	13
930	184	13
931	185	13
932	185	13
933	185	13
934	185	12
935	185	12
936	186	12
937	186	12
938	186	12
939	186	11
940	187	11
941	187	11
942	187	11
943	187	11
944	187	10
945	188	10
946	188	10
947	188	10
948	188	10
949	188	9
950	189	9
951	189	9
952	189	9
953	189	9
954	190	8
955	190	8
956	190	8
957	190	8
958	191	8
959	191	7
960	191	7
961	191	7
962	191	7
963	192	7
964	192	6
965	192	6
966	192	6
967	193	6
968	193	6
969	193	5
970	193	5
971	193	5
972	194	5
973	194	5
974	194	4
975	194	4
976	194	4
977	195	4
978	195	4
979	195	3
980	195	3
981	195	3
982	196	3
983	196	3
984	196	2
985	196	2
986	196	2
987	197	2
988	197	2
989	197	1
990	197	1
991	198	1
992	198	1
993	198	1
994	198	0
995	198	0
996	199	0
997	199	0
998	199	0
999	199	0
0
997	232	0
998	232	0
999	233	0
